,TTR,CorrectedTTR,RootTTR,BilogTTR,MTLD
AMU11,0.02857142857142857,0.41403933560541256,0.5855400437691199,0.41139103706149566,66.3762344695763
CFE02,0.032432432432432434,0.44112877325628463,0.6238502938920436,0.4202089095784257,83.53682170542635
AMU02,0.02926829268292683,0.4190581774617469,0.5926377579897538,0.41303885251438344,69.80718954248366
LRE05,0.028199566160520606,0.4281321992602098,0.6054703626824091,0.4181938526540431,54.423611111111114
ANT02,0.03282828282828283,0.46193488543715594,0.6532745799184878,0.4288198855440226,59.36413043478261
LDV03,0.017828200972447326,0.3131375182702646,0.442843325225661,0.3732208802819763,59.26447368421053
GRE06,0.028037383177570093,0.41015155621479793,0.5800418934273981,0.410109939933215,50.52777777777778
LYO09,0.023465703971119134,0.39054714928197126,0.5523170752607136,0.4060285720969913,87.56404958677686
LOR06,0.0325,0.4596194077712559,0.65,0.42810056494444443,61.90476190476191
UPS01,0.024,0.37947331922020555,0.5366563145999494,0.3998492922536637,63.51843910806175
BOD16,0.02702702702702703,0.43495883620084,0.6151246852292455,0.42225084537473945,61.726183063511826
BFC02,0.014736842105263158,0.32118202741878643,0.4542199791661351,0.3849007455368109,51.69491525423729
UPS03,0.027777777777777776,0.4249182927993987,0.6009252125773316,0.4171688352308114,65.18124522536287
GRE01,0.0262582056892779,0.3969247209933735,0.5613363236699856,0.40572001705139626,53.951388888888886
GRE04,0.03076923076923077,0.4296689244236597,0.6076436202502,0.41650109500206217,43.333333333333336
OCM07,0.026,0.41109609582188933,0.5813776741499453,0.41272905979586133,71.42857142857143
LOR09,0.02857142857142857,0.41403933560541256,0.5855400437691199,0.41139103706149566,67.75064267352185
LDV10,0.019696969696969695,0.3578132236660672,0.5060243137049899,0.3950792673470987,54.025695931477514
PES03,0.025,0.3872983346207417,0.5477225575051661,0.4024931554103401,48.484848484848484
UPS05,0.02391304347826087,0.36265926036768287,0.5128776445321725,0.39109552989299406,71.19047619047619
NOR10,0.03282828282828283,0.46193488543715594,0.6532745799184878,0.4288198855440226,50.285714285714285
PES11,0.025,0.3872983346207417,0.5477225575051661,0.4024931554103401,56.66666666666667
OCM15,0.02510460251046025,0.38810773641189056,0.5488672244956179,0.4027655483516263,80.92456140350878
AMU06,0.02620967741935484,0.41275041275061913,0.5837172315870185,0.41326318855088967,70.85714285714286
LRE08,0.03684210526315789,0.5078333750770082,0.7181848464596079,0.44427293714918475,63.840431572969905
OCM01,0.025925925925925925,0.42600643361512924,0.6024640760767093,0.41945932263895064,63.75
GRE07,0.030952380952380953,0.4485426135725303,0.6343350474165466,0.4246425821534755,46.666666666666664
PES07,0.026905829596412557,0.401789718109455,0.5682164685724541,0.4073404471687741,53.565438871473354
LYO11,0.027237354085603113,0.4366480030862637,0.6175135279477232,0.4227752224467777,54.25555555555556
BOD08,0.02666666666666667,0.4,0.565685424949238,0.4067451214120886,43.31670822942644
BRE15,0.022641509433962263,0.3685770701003707,0.5212466913156832,0.39613508238641276,52.23410404624278
LYO02,0.026,0.41109609582188933,0.5813776741499453,0.41272905979586133,47.72727272727273
BRE09,0.029213483146067417,0.43576099005009405,0.6162591020819703,0.4206162861877079,55.89300979173143
BRE13,0.021702838063439065,0.37559079782704197,0.531165600189534,0.40107027962974556,48.73716131064902
OCM13,0.03571428571428571,0.4629100498862757,0.6546536707079772,0.4271719383481265,52.0
LOR08,0.024489795918367346,0.3833259389999639,0.5421047417431508,0.40115337839470294,52.89772727272727
PES06,0.028384279475982533,0.42953209029580836,0.6074501075707971,0.418639484602016,65.88531538269758
BRE08,0.030952380952380953,0.4485426135725303,0.6343350474165466,0.4246425821534755,48.94018743109151
