,DISC_RefExprPronounsPerNoun,DISC_RefExprPronounsPerSen,DISC_RefExprPronounsPerWord,DISC_RefExprPerPronounsPerSen,DISC_RefExprPerProPerWord,DISC_RefExprPossProPerSen,DISC_RefExprPossProPerWord,DISC_RefExprDefArtPerSen,DISC_RefExprDefArtPerWord,DISC_RefExprProperNounsPerNoun
GRE03,0.05555555555555555,0.125,0.0125,0.125,0.0125,0.0,0.0,0.0,0.0,0.07777777777777778
BOD10,0.14583333333333334,0.30434782608695654,0.030634573304157548,0.30434782608695654,0.030634573304157548,0.0,0.0,0.0,0.0,0.11458333333333333
LDV05,0.17777777777777778,0.2962962962962963,0.02981366459627329,0.2962962962962963,0.02981366459627329,0.0,0.0,0.0,0.0,0.17037037037037037
SEN02,0.1308411214953271,0.25925925925925924,0.026119402985074626,0.25925925925925924,0.026119402985074626,0.0,0.0,0.0,0.0,0.04672897196261682
HES03,0.1,0.22857142857142856,0.022988505747126436,0.22857142857142856,0.022988505747126436,0.0,0.0,0.0,0.0,0.0625
OCM11,0.3333333333333333,0.6097560975609756,0.06142506142506143,0.6097560975609756,0.06142506142506143,0.0,0.0,0.0,0.0,0.09333333333333334
NOR12,0.16379310344827586,0.3220338983050847,0.03220338983050847,0.3220338983050847,0.03220338983050847,0.0,0.0,0.0,0.0,0.02586206896551724
BOD01,0.05384615384615385,0.1320754716981132,0.013207547169811321,0.1320754716981132,0.013207547169811321,0.0,0.0,0.0,0.0,0.046153846153846156
SEN01,0.058333333333333334,0.14583333333333334,0.014583333333333334,0.14583333333333334,0.014583333333333334,0.0,0.0,0.0,0.0,0.058333333333333334
BOD03,0.125,0.25,0.025,0.25,0.025,0.0,0.0,0.0,0.0,0.11363636363636363
LYO03,0.07086614173228346,0.15,0.015100671140939598,0.15,0.015100671140939598,0.0,0.0,0.0,0.0,0.11811023622047244
POF04,0.1782178217821782,0.33962264150943394,0.033962264150943396,0.33962264150943394,0.033962264150943396,0.0,0.0,0.0,0.0,0.1485148514851485
BFC05,0.2033898305084746,0.35294117647058826,0.03529411764705882,0.35294117647058826,0.03529411764705882,0.0,0.0,0.0,0.0,0.13559322033898305
OCM05,0.1308411214953271,0.23728813559322035,0.023769100169779286,0.23728813559322035,0.023769100169779286,0.0,0.0,0.0,0.0,0.17757009345794392
BOD11,0.18604651162790697,0.36363636363636365,0.03636363636363636,0.36363636363636365,0.03636363636363636,0.0,0.0,0.0,0.0,0.046511627906976744
CVL04,0.19387755102040816,0.3958333333333333,0.03958333333333333,0.3958333333333333,0.03958333333333333,0.0,0.0,0.0,0.0,0.04081632653061224
