,conjunctToSent,conjunctTypesToSent,conjunctToWords,conjunctNum,conjunctTypesToTotal,conjunctNeighborSent
BOD11,0.38636363636363635,0.06818181818181818,0.038636363636363635,17,0.17647058823529413,0.022727272727272728
CVL04,0.5416666666666666,0.08333333333333333,0.05416666666666667,26,0.15384615384615385,0.0
PES09,0.3018867924528302,0.05660377358490566,0.03018867924528302,16,0.1875,0.018867924528301886
BOD05,0.43636363636363634,0.05454545454545454,0.04363636363636364,24,0.125,0.01818181818181818
OCM19,0.3269230769230769,0.057692307692307696,0.03288201160541586,17,0.17647058823529413,0.0
OCM14,0.38461538461538464,0.07692307692307693,0.038461538461538464,20,0.2,0.019230769230769232
UPS11,0.5348837209302325,0.06976744186046512,0.053488372093023255,23,0.13043478260869565,0.0
AMU10,0.22,0.06,0.022132796780684104,11,0.2727272727272727,0.0
BFC08,0.4142857142857143,0.05714285714285714,0.041726618705035974,29,0.13793103448275862,0.014285714285714285
OCM12,0.3888888888888889,0.05555555555555555,0.03888888888888889,21,0.14285714285714285,0.0
PES08,0.36363636363636365,0.13636363636363635,0.03669724770642202,16,0.375,0.022727272727272728
GRE14,0.32075471698113206,0.03773584905660377,0.03207547169811321,17,0.11764705882352941,0.0
LRE04,0.5098039215686274,0.058823529411764705,0.051181102362204724,26,0.11538461538461539,0.0196078431372549
CFE09,0.28846153846153844,0.057692307692307696,0.028846153846153848,15,0.2,0.0
NOR06,0.4897959183673469,0.061224489795918366,0.04897959183673469,24,0.125,0.04081632653061224
BOD13,0.30434782608695654,0.06521739130434782,0.03056768558951965,14,0.21428571428571427,0.0
PES05,0.5609756097560976,0.12195121951219512,0.05609756097560976,23,0.21739130434782608,0.0
BRE11,0.2926829268292683,0.07317073170731707,0.02962962962962963,12,0.25,0.024390243902439025
AMU11,0.38095238095238093,0.09523809523809523,0.0380952380952381,16,0.25,0.0
CFE02,0.1891891891891892,0.05405405405405406,0.01891891891891892,7,0.2857142857142857,0.0
AMU02,0.24390243902439024,0.0975609756097561,0.024390243902439025,10,0.4,0.0
LRE05,0.4782608695652174,0.06521739130434782,0.04772234273318872,22,0.13636363636363635,0.021739130434782608
ANT02,0.5,0.175,0.050505050505050504,20,0.35,0.0
LDV03,0.27419354838709675,0.04838709677419355,0.027552674230145867,17,0.17647058823529413,0.0
GRE06,0.16279069767441862,0.023255813953488372,0.016355140186915886,7,0.14285714285714285,0.023255813953488372
LYO09,0.375,0.07142857142857142,0.03790613718411552,21,0.19047619047619047,0.0
LOR06,0.2,0.075,0.02,8,0.375,0.05
UPS01,0.36,0.06,0.036,18,0.16666666666666666,0.02
BOD16,0.4807692307692308,0.038461538461538464,0.04826254826254826,25,0.08,0.0
BFC02,0.35789473684210527,0.042105263157894736,0.035789473684210524,34,0.11764705882352941,0.010526315789473684
UPS03,0.23404255319148937,0.0851063829787234,0.023504273504273504,11,0.36363636363636365,0.02127659574468085
GRE01,0.2826086956521739,0.06521739130434782,0.028446389496717725,13,0.23076923076923078,0.0
GRE04,0.3333333333333333,0.07692307692307693,0.03333333333333333,13,0.23076923076923078,0.0
OCM07,0.32,0.1,0.032,16,0.3125,0.02
LOR09,0.21428571428571427,0.07142857142857142,0.02142857142857143,9,0.3333333333333333,0.0
LDV10,0.3484848484848485,0.10606060606060606,0.03484848484848485,23,0.30434782608695654,0.0
PES03,0.375,0.0625,0.0375,18,0.16666666666666666,0.020833333333333332
UPS05,0.3695652173913043,0.043478260869565216,0.03695652173913044,17,0.11764705882352941,0.0
NOR10,0.225,0.05,0.022727272727272728,9,0.2222222222222222,0.025
PES11,0.3125,0.10416666666666667,0.03125,15,0.3333333333333333,0.0
OCM15,0.3958333333333333,0.0625,0.0397489539748954,19,0.15789473684210525,0.020833333333333332
AMU06,0.38,0.08,0.038306451612903226,19,0.21052631578947367,0.0
LRE08,0.6052631578947368,0.07894736842105263,0.060526315789473685,23,0.13043478260869565,0.0
OCM01,0.42592592592592593,0.07407407407407407,0.04259259259259259,23,0.17391304347826086,0.018518518518518517
GRE07,0.3333333333333333,0.09523809523809523,0.03333333333333333,14,0.2857142857142857,0.047619047619047616
PES07,0.26666666666666666,0.08888888888888889,0.026905829596412557,12,0.3333333333333333,0.0
LYO11,0.3076923076923077,0.057692307692307696,0.0311284046692607,16,0.1875,0.019230769230769232
BOD08,0.24444444444444444,0.044444444444444446,0.024444444444444446,11,0.18181818181818182,0.0
BRE15,0.41509433962264153,0.07547169811320754,0.04150943396226415,22,0.18181818181818182,0.0
LYO02,0.34,0.06,0.034,17,0.17647058823529413,0.0
BRE09,0.13333333333333333,0.044444444444444446,0.01348314606741573,6,0.3333333333333333,0.0
BRE13,0.36666666666666664,0.06666666666666667,0.03672787979966611,22,0.18181818181818182,0.0
OCM13,0.3235294117647059,0.08823529411764706,0.03273809523809524,11,0.2727272727272727,0.029411764705882353
LOR08,0.3673469387755102,0.061224489795918366,0.036734693877551024,18,0.16666666666666666,0.0
PES06,0.21739130434782608,0.043478260869565216,0.021834061135371178,10,0.2,0.0
BRE08,0.40476190476190477,0.047619047619047616,0.04047619047619048,17,0.11764705882352941,0.0
LOR10,0.3333333333333333,0.09803921568627451,0.03353057199211045,17,0.29411764705882354,0.0196078431372549
NOR04,0.4878048780487805,0.07317073170731707,0.04878048780487805,20,0.15,0.0
CVL01,0.5476190476190477,0.09523809523809523,0.055288461538461536,23,0.17391304347826086,0.0
LRE02,0.38,0.04,0.03807615230460922,19,0.10526315789473684,0.0
OCM17,0.24,0.06,0.024,12,0.25,0.02
POF05,0.5227272727272727,0.09090909090909091,0.05227272727272727,23,0.17391304347826086,0.022727272727272728
GRE10,0.24561403508771928,0.08771929824561403,0.02456140350877193,14,0.35714285714285715,0.017543859649122806
HES06,0.5,0.08333333333333333,0.05,18,0.16666666666666666,0.0
UPS04,0.4318181818181818,0.09090909090909091,0.04357798165137615,19,0.21052631578947367,0.022727272727272728
CFE08,0.40425531914893614,0.0851063829787234,0.0407725321888412,19,0.21052631578947367,0.0
CFE11,0.2916666666666667,0.0625,0.029166666666666667,14,0.21428571428571427,0.0
LRE01,0.48,0.06,0.048,24,0.125,0.02
LOR07,0.3695652173913043,0.10869565217391304,0.03695652173913044,17,0.29411764705882354,0.021739130434782608
OCM18,0.3,0.06,0.030120481927710843,15,0.2,0.02
OCM06,0.3548387096774194,0.04838709677419355,0.03559870550161812,22,0.13636363636363635,0.0
LRE09,0.29545454545454547,0.09090909090909091,0.029612756264236904,13,0.3076923076923077,0.022727272727272728
GRE09,0.3584905660377358,0.05660377358490566,0.035849056603773584,19,0.15789473684210525,0.018867924528301886
OCM20,0.5555555555555556,0.13333333333333333,0.05592841163310962,25,0.24,0.0
BOD07,0.5490196078431373,0.0784313725490196,0.0550098231827112,28,0.14285714285714285,0.0
