,conjunctToSent,conjunctTypesToSent,conjunctToWords,conjunctNum,conjunctTypesToTotal,conjunctNeighborSent,synonymToNouns,synonymToVerbs,averageSynClassNOUN,averageSynClassVERB,TTR,CorrectedTTR,RootTTR,BilogTTR,MTLD,POS_numNouns,POS_numProperNouns,POS_numPronouns,POS_numConjunct,POS_numAdjectives,POS_numVerbs,POS_numAdverbs,POS_numModals,POS_numPrepositions,POS_numInterjections,POS_numPerPronouns,POS_numWhPronouns,POS_numLexicals,POS_numFunctionWords,POS_numDeterminers,POS_numVerbsVB,POS_numVerbsVBG,POS_numVerbsVBN,POS_numVerbsVBP,POS_numVerbsVBZ,POS_advVar,POS_adjVar,POS_modVar,POS_nounVar,POS_verbVar1,POS_verbVar2,POS_squaredVerbVar1,POS_correctedVV1,localNounOverlapCount,localArgumentOverlapCount,localStemOverlapCount,localContentWordOverlap,globalNounOverlapCount,globalArgumentOverlapCount,globalStemOverlapCount,globalContentWordOverlap,DISC_RefExprPronounsPerNoun,DISC_RefExprPronounsPerSen,DISC_RefExprPronounsPerWord,DISC_RefExprPerPronounsPerSen,DISC_RefExprPerProPerWord,DISC_RefExprPossProPerSen,DISC_RefExprPossProPerWord,DISC_RefExprDefArtPerSen,DISC_RefExprDefArtPerWord,DISC_RefExprProperNounsPerNoun
BRE14,0.2553191489361702,0.0638297872340425,0.025531914893617,12,0.25,0.0212765957446808,0.9090909090909092,0.9245283018867924,1.1,1.0816326530612246,0.025531914893617,0.3913968438320653,0.553518724817331,0.4038704057348137,45.29710144927536,0.2435233160621761,0.0155440414507772,0.0803108808290155,0.0284974093264248,0.0647668393782383,0.1839378238341968,0.0569948186528497,0,0.1683937823834196,0.0025906735751295,0.0803108808290155,0,0.5492227979274611,0.5077720207253886,0.1709844559585492,0.1502590673575129,0,0.0336787564766839,0,0,0.1037735849056603,0.1179245283018868,0.2216981132075471,0.4433962264150943,1.4489795918367347,0.3349056603773584,102.87755102040816,7.172083066320696,0.0,0.3404255319148936,0.3829787234042553,2.0851063829787235,0.0,5.638297872340425,7.276595744680851,36.57446808510638,0.3522727272727273,0.6595744680851063,0.0659574468085106,0.6595744680851063,0.0659574468085106,0.0,0.0,0.0,0.0,0.0681818181818181
LOR01,0.2592592592592592,0.0555555555555555,0.0261682242990654,14,0.2142857142857142,0.0185185185185185,0.9333333333333332,0.8620689655172413,1.0714285714285714,1.16,0.022429906542056,0.3668507043094458,0.5188052414005403,0.3955430022158424,49.28484848484848,0.2737068965517241,0.021551724137931,0.0301724137931034,0.0344827586206896,0.0711206896551724,0.1487068965517241,0.0905172413793103,0,0.2047413793103448,0.0,0.0301724137931034,0,0.584051724137931,0.5064655172413793,0.146551724137931,0.1120689655172413,0,0.0366379310344827,0,0,0.1549815498154981,0.1217712177121771,0.2767527675276753,0.4686346863468634,1.0952380952380951,0.2546125461254612,75.57142857142857,6.147008563985761,0.0,0.0925925925925925,0.1111111111111111,1.6296296296296295,0.0,3.185185185185185,4.462962962962963,47.851851851851855,0.1196581196581196,0.2592592592592592,0.0261682242990654,0.2592592592592592,0.0261682242990654,0.0,0.0,0.0,0.0,0.0854700854700854
BFC07,0.3709677419354839,0.064516129032258,0.0372168284789644,23,0.1739130434782608,0.0,0.8936170212765957,0.8356164383561644,1.119047619047619,1.1967213114754098,0.0194174757281553,0.3413280743931445,0.4827107920254778,0.3866663211546521,49.51923076923077,0.256,0.028,0.034,0.05,0.066,0.172,0.082,0,0.238,0.0,0.034,0,0.576,0.506,0.102,0.142,0,0.03,0,0,0.1423611111111111,0.1145833333333333,0.2569444444444444,0.4444444444444444,1.131578947368421,0.2986111111111111,97.3157894736842,6.9755211086227895,0.0,0.1612903225806451,0.1774193548387097,1.7419354838709675,0.0,3.2096774193548385,3.9193548387096775,52.25806451612903,0.1491228070175438,0.2741935483870967,0.0275080906148867,0.2741935483870967,0.0275080906148867,0.0,0.0,0.0,0.0,0.1228070175438596
HES07,0.2962962962962963,0.0555555555555555,0.0298507462686567,16,0.1875,0.0,0.951219512195122,0.835820895522388,1.051282051282051,1.1964285714285714,0.0242537313432835,0.3970506941579919,0.5615144766278841,0.4081627304125657,50.00456707897241,0.2453703703703703,0.0208333333333333,0.0208333333333333,0.0439814814814814,0.0879629629629629,0.1782407407407407,0.099537037037037,0,0.2037037037037037,0.0,0.0208333333333333,0,0.6111111111111112,0.4884259259259259,0.1203703703703703,0.1319444444444444,0,0.0462962962962962,0,0,0.1628787878787878,0.1439393939393939,0.3068181818181818,0.4015151515151515,1.1492537313432836,0.2916666666666667,88.49253731343283,6.651786876976473,0.0,0.2777777777777778,0.3148148148148148,1.3888888888888888,0.0,4.0,5.87037037037037,39.22222222222222,0.0927835051546391,0.1666666666666666,0.0167910447761194,0.1666666666666666,0.0167910447761194,0.0,0.0,0.0,0.0,0.0927835051546391
LRE10,0.4489795918367347,0.1020408163265306,0.0450819672131147,22,0.2272727272727272,0.0,0.942528735632184,0.8421052631578947,1.0609756097560976,1.1875,0.0245901639344262,0.3841106397986879,0.5432144762551112,0.4014184232742711,44.36363636363637,0.2578313253012048,0.0240963855421686,0.036144578313253,0.0481927710843373,0.0746987951807229,0.1662650602409638,0.0674698795180722,0,0.1759036144578313,0.0024096385542168,0.036144578313253,0,0.5662650602409639,0.5012048192771085,0.1710843373493976,0.1421686746987951,0,0.0240963855421686,0,0,0.1191489361702127,0.1319148936170212,0.251063829787234,0.4553191489361702,1.1694915254237288,0.2936170212765957,80.69491525423729,6.351964863498432,0.0,0.0816326530612244,0.0816326530612244,2.224489795918368,0.0,2.306122448979592,2.7346938775510203,47.63265306122449,0.1546391752577319,0.3061224489795918,0.0307377049180327,0.3061224489795918,0.0307377049180327,0.0,0.0,0.0,0.0,0.1030927835051546
BRE12,0.325,0.1,0.0328282828282828,13,0.3076923076923077,0.0,0.9615384615384616,0.88,1.04,1.1363636363636365,0.0303030303030303,0.4264014327112209,0.6030226891555273,0.4154379820599051,73.06296900489397,0.2276923076923077,0.0215384615384615,0.0307692307692307,0.0369230769230769,0.1046153846153846,0.2092307692307692,0.1015384615384615,0,0.1292307692307692,0.003076923076923,0.0307692307692307,0,0.6430769230769231,0.4584615384615385,0.1569230769230769,0.1876923076923076,0,0.0215384615384615,0,0,0.1578947368421052,0.1626794258373205,0.3205741626794258,0.354066985645933,1.2363636363636363,0.3253588516746411,84.07272727272728,6.483545606870028,0.0,0.175,0.225,1.225,0.0,3.1,3.975,26.95,0.1492537313432835,0.25,0.0252525252525252,0.25,0.0252525252525252,0.0,0.0,0.0,0.0,0.1044776119402985
GRE03,0.325,0.05,0.0325,13,0.1538461538461538,0.0,0.9397590361445785,0.972972972972973,1.064102564102564,1.0277777777777777,0.03,0.4242640687119285,0.6,0.4147411088308015,54.98281786941581,0.2904191616766467,0.0209580838323353,0.0149700598802395,0.0389221556886227,0.0868263473053892,0.1317365269461078,0.1017964071856287,0,0.1826347305389221,0.0029940119760479,0.0149700598802395,0,0.6107784431137725,0.4910179640718562,0.1497005988023952,0.122754491017964,0,0.0089820359281437,0,0,0.1666666666666666,0.142156862745098,0.3088235294117647,0.4754901960784313,1.0232558139534884,0.2156862745098039,45.02325581395349,4.74464202095129,0.0,0.175,0.2,2.225,0.0,1.775,1.825,37.375,0.0555555555555555,0.125,0.0125,0.125,0.0125,0.0,0.0,0.0,0.0,0.0777777777777777
BOD10,0.3695652173913043,0.0652173913043478,0.037199124726477,17,0.1764705882352941,0.0434782608695652,0.9242424242424242,0.9583333333333334,1.0819672131147542,1.0434782608695652,0.0262582056892779,0.3969247209933735,0.5613363236699856,0.4057200170513962,47.76802670623145,0.2681704260651629,0.0275689223057644,0.0350877192982456,0.0426065162907268,0.0927318295739348,0.137844611528822,0.0802005012531328,0,0.1929824561403508,0.0025062656641604,0.0350877192982456,0,0.5789473684210527,0.5012531328320802,0.1478696741854636,0.1077694235588972,0,0.0300751879699248,0,0,0.1385281385281385,0.1601731601731601,0.2987012987012987,0.4632034632034632,1.1956521739130437,0.238095238095238,65.76086956521739,5.734146386569557,0.0,0.217391304347826,0.217391304347826,1.7173913043478262,0.0,2.217391304347826,2.9565217391304346,37.56521739130435,0.1458333333333333,0.3043478260869565,0.0306345733041575,0.3043478260869565,0.0306345733041575,0.0,0.0,0.0,0.0,0.1145833333333333
LDV05,0.4074074074074074,0.0617283950617283,0.0409937888198757,33,0.1515151515151515,0.0,0.8584905660377359,0.8873239436619719,1.164835164835165,1.126984126984127,0.0161490683229813,0.3239891110814974,0.4581897949526569,0.383352237448218,51.246488118681896,0.2415902140672783,0.0351681957186544,0.036697247706422,0.0519877675840978,0.0886850152905198,0.1483180428134556,0.1345565749235474,0,0.1666666666666666,0.0,0.036697247706422,0,0.6131498470948012,0.5214067278287462,0.1314984709480122,0.1253822629969418,0,0.0229357798165137,0,0,0.2194513715710723,0.1446384039900249,0.3640897755610973,0.3940149625935162,1.2125,0.2418952618453865,117.6125,7.668523325908319,0.0,0.1728395061728395,0.2098765432098765,1.8271604938271604,0.0,5.728395061728395,6.876543209876544,60.8641975308642,0.1777777777777777,0.2962962962962963,0.0298136645962732,0.2962962962962963,0.0298136645962732,0.0,0.0,0.0,0.0,0.1703703703703703
SEN02,0.4074074074074074,0.0555555555555555,0.0410447761194029,22,0.1363636363636363,0.0,0.8658536585365854,0.918032786885246,1.1549295774647887,1.0892857142857142,0.0205223880597014,0.3359659719798393,0.475127634069748,0.3815792615716172,67.0,0.25,0.0111607142857142,0.03125,0.0513392857142857,0.0803571428571428,0.1428571428571428,0.1227678571428571,0,0.1875,0.0022321428571428,0.03125,0,0.5959821428571429,0.5267857142857143,0.1316964285714285,0.125,0,0.0178571428571428,0,0,0.2059925093632958,0.1348314606741573,0.3408239700374532,0.4194756554307116,1.103448275862069,0.2397003745318352,70.62068965517241,5.94225082166566,0.0,0.1111111111111111,0.1481481481481481,1.5555555555555556,0.0,2.925925925925926,3.685185185185185,36.61111111111112,0.1308411214953271,0.2592592592592592,0.0261194029850746,0.2592592592592592,0.0261194029850746,0.0,0.0,0.0,0.0,0.0467289719626168
