,file,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
73,ALS01,36.069675,0.21438378,33.85218,38.199944,40.9868,7.1346207,323.92093,503.87604,152.21057,338.51718,0.8284152,0.8125734,0.19716504,0.6883762,1.381536,1.184371,17.980385,10.601069,14.720658,8.902377,0.61283994,1.0268612,19.475792,0.77269685,8.793078,1.8984717,6.326611,2.3678567,-11.039172,-1.3903854,0.047525194,2.0420327,1.2460126,0.9109644,7.5815387,0.8394901,10.004763,1.181077,22.541231,0.52665865,603.05817,0.35170245,1265.5513,0.2028379,-83.61485,-1.033381,1706.212,0.15266563,864.06476,0.5125616,-77.44692,-0.9639369,2744.0876,0.10993952,834.8109,0.55165297,-79.60626,-0.9192709,-17.127377,-0.4753677,25.67471,0.3917851,0.07846215,0.47721827,-0.027935205,-0.41898194,0.78879684,0.8097407,24.476213,0.5298242,7.6506557,2.3163853,7.0027337,2.3548603,-14.394513,-1.0959599,-6.2099953,13.012143,0.046404894,-0.0149157895,0.16695043,3.9217877,2.3530068,0.2957957,0.28463534,0.12440443,0.18971987,-23.92611
74,GRE08,30.7157,0.18497036,27.162958,30.599072,34.304226,7.141268,185.75621,427.90128,118.433876,238.93616,0.9386763,0.8044288,0.18911828,0.82075036,1.51826,1.3291417,17.878002,11.470179,15.176689,9.947169,0.59180003,1.0707358,10.830988,1.3355751,19.537746,0.5446859,6.3730707,2.2077878,-6.7064023,-2.5440257,0.035358544,1.8816715,1.3107748,0.7371013,5.077781,0.8991378,7.2443933,1.5767955,24.099604,0.40542576,543.3376,0.45634177,1122.7213,0.22463608,-81.69225,-1.0999455,1603.0144,0.21452051,750.47424,0.44854814,-83.8707,-0.9648124,2709.9104,0.1267641,624.14996,0.63162625,-86.25426,-0.9118292,-13.6300335,-0.6120528,20.232615,0.46183163,0.050784044,0.77594805,-0.024912054,-0.5687328,0.7922244,0.82187563,16.616898,0.7167494,22.472828,0.4016585,6.4878116,2.4129374,-10.576364,-1.7518752,-2.1871908,8.854522,-0.0032695252,-0.004420442,0.20415379,3.3756907,2.1985934,0.2906801,0.2472301,0.16319884,0.2364577,-24.90662
75,LYO03,25.284134,0.18288943,22.665573,24.64061,27.936901,5.271328,239.76367,444.7645,111.102974,208.90887,1.0328264,0.7558229,0.25789806,0.9085228,1.6962106,1.4383125,23.303562,13.124005,18.492819,10.969646,0.84724593,0.9806678,20.261164,0.8246533,3.0537097,4.374501,18.111353,0.7882538,4.375856,3.1946044,0.039750703,2.0392938,1.6485958,0.7382104,3.2522132,1.2539302,7.8082023,1.1867714,24.58704,0.3581264,559.9568,0.47308242,1185.8481,0.21015108,-82.43218,-1.0664512,1587.7305,0.19983357,836.454,0.35577545,-87.62937,-0.9266334,2599.6426,0.123672806,763.98596,0.34160784,-89.52979,-0.8887583,-13.862459,-0.5493867,22.061268,0.3838888,0.0244462,1.2185612,-0.015843652,-0.8949987,1.1452546,0.739599,28.52313,0.44363746,5.275703,2.1440105,21.193823,0.69612974,5.384913,2.8740902,-0.34532738,8.249455,0.03378109,0.0025295326,0.31294867,4.7513814,2.8626692,0.21403474,0.1978459,0.12548935,0.39231873,-22.387608
76,SPC07,38.07815,0.14494693,34.754005,38.165127,42.149384,7.395378,304.11914,556.60767,119.27289,181.03247,0.71862096,0.84369165,0.17667024,0.56825167,1.1612794,0.9846092,12.90232,8.454549,11.814134,7.761561,0.4187495,1.0902843,18.596619,0.7466276,4.048812,3.9554594,16.90769,0.88980144,-9.000965,-2.0914211,0.029926853,2.2497435,0.98082733,0.90186256,9.49113,0.5024428,10.663877,1.1656594,16.474075,0.71133244,612.4835,0.4199432,1235.7944,0.22730464,-98.11902,-0.89959294,1712.7357,0.16469736,896.72736,0.5495154,-84.84462,-0.92179656,2704.9966,0.11376928,862.8994,0.5832851,-84.68347,-0.92151725,-15.251624,-0.56051606,22.80679,0.42244864,0.05188897,0.81527025,-0.02210248,-0.6112279,0.57230186,0.8302767,23.036142,0.553869,2.4156034,7.254371,17.463324,0.9546195,-15.041255,-1.2668741,-8.327615,15.951313,-0.022586597,-0.0074283774,0.106560126,3.0907335,2.0460358,0.31875,0.2527457,0.16749215,0.2429638,-26.79784
77,SOU02,34.27512,0.15733124,32.546955,34.889053,37.61802,5.071064,292.89233,487.9958,137.33665,287.04047,0.4192883,0.7995576,0.13691795,0.31807405,0.6514434,0.5145255,8.057624,5.530863,7.3238006,4.9883504,0.3151905,0.8226096,18.265228,0.75160927,17.844275,0.7231912,14.480217,0.9020697,4.496365,3.6835518,0.0321459,2.2164938,1.1205099,0.93030924,9.23596,0.47902352,11.631522,1.0446589,24.666618,0.4852529,618.38043,0.37503722,1278.674,0.18354931,-101.05245,-0.8672164,1737.9448,0.16089047,954.4096,0.4737637,-101.06499,-0.780716,2843.2239,0.103196904,768.9799,0.6176602,-103.19919,-0.74589,-21.773159,-0.35054266,31.53604,0.26505223,-0.026656646,-1.595686,-0.018999098,-0.74894273,0.3991846,0.724413,25.64033,0.45237535,17.88613,0.79945123,16.517859,0.9149294,-2.0970051,-8.365631,-21.856306,32.55551,-0.08533462,-0.004607907,0.18950395,3.1115582,2.6096675,0.2198287,0.18703808,0.15546729,0.18290369,-30.774181
78,OCM07,36.612698,0.18581638,33.54155,36.83257,40.675865,7.1343155,384.92987,673.4382,187.13484,386.5359,0.55949545,0.78300184,0.1571658,0.48462287,0.8670695,0.7099037,12.020842,7.7904396,10.07097,7.673401,0.32440564,1.1361381,5.565834,2.836353,24.75926,0.5828282,19.836906,0.68728065,-4.573461,-3.2745118,0.038925745,1.8858935,1.1460814,0.9054104,7.9030952,0.69755834,10.574184,1.5587132,15.119292,0.92360604,542.226,0.46027535,1106.1393,0.23354909,-116.46569,-0.74192905,1737.2644,0.17151794,705.6021,0.61752564,-99.982185,-0.76965356,2750.785,0.10687753,677.66797,0.66501105,-97.70068,-0.80257565,-15.875534,-0.6514614,22.617104,0.5097185,0.023762072,1.8551813,-0.024332393,-0.50031096,0.4308634,0.92070204,11.7236595,1.1980366,23.116915,0.6679942,19.674154,0.7806163,-7.8860674,-2.0777876,-5.0825267,10.545302,-0.015403051,-0.014861659,0.15963301,3.3521428,2.995585,0.19285448,0.1508739,0.13471578,0.18028413,-29.62414
79,LYO10,40.55368,0.13827147,36.428852,40.66942,44.007004,7.5781517,239.77457,486.55328,95.28758,129.51079,0.9805744,0.89373916,0.15684092,0.7700168,1.693829,1.5369881,22.063093,14.542756,17.661348,10.568659,0.55809265,1.2157229,7.252545,1.9601256,-9.449325,-1.6479465,3.893938,3.894544,-13.068002,-1.3728274,0.034024123,1.9801053,1.1281456,0.78596103,6.699733,0.877135,5.5935235,1.5446372,9.972974,1.0261428,687.67834,0.47162595,1066.0983,0.2865496,-106.92575,-0.855176,1746.1451,0.18893489,795.37744,0.50717455,-79.51604,-1.0743321,2756.299,0.11572477,898.65405,0.52779394,-79.54844,-1.0661223,-4.6786084,-1.8980277,12.65348,0.79816544,0.09493835,0.40056148,-0.010853625,-1.3609151,0.78804415,0.9031922,10.69058,1.334803,-11.773385,-1.4502732,3.2146187,5.316699,-20.185745,-0.87007296,2.4620135,4.6744437,0.046080157,0.0022804688,0.12244986,3.486188,2.05029,0.30959567,0.26727656,0.17636363,0.27957234,-26.48934
80,BRE09,34.1999,0.1562123,31.635914,34.758167,37.85999,6.2240753,331.00745,495.26962,123.74403,246.53403,0.5708961,0.7542469,0.14155534,0.50497115,0.9384563,0.796901,11.752886,7.915226,10.051536,6.5961747,0.36070818,1.1391803,22.916416,0.67179567,11.232824,1.2625859,7.5508704,1.9748346,-5.154813,-2.8609364,0.03690458,2.2888455,1.1340461,0.895978,7.996022,0.68294233,8.202418,1.3549955,27.210918,0.38408443,569.80695,0.3443824,1298.5819,0.1792528,-91.569756,-0.9865217,1622.0548,0.15634108,957.7706,0.40516782,-94.00671,-0.8539492,2685.0383,0.09501835,789.2103,0.5109567,-97.29555,-0.79730636,-18.895464,-0.41807193,28.815258,0.32679328,0.080742925,0.44141126,-0.028459786,-0.47010022,0.5222752,0.8384512,29.988398,0.4237978,12.066503,1.1451687,6.9857545,2.4573948,-9.493025,-1.6255412,-7.589685,15.609841,0.052866254,-0.0127838785,0.097252734,3.6927373,2.2242093,0.26816583,0.22801393,0.16769229,0.24965474,-28.37962
81,SPC05,27.393147,0.2208977,23.166885,26.81753,30.872158,7.7052727,343.09787,722.4916,148.27295,368.7352,0.9268405,0.85870373,0.14763139,0.77029896,1.5470873,1.3994559,19.934216,12.483819,17.575663,10.325854,0.57422227,1.0607167,17.35276,0.8840011,3.2796557,4.0680556,27.347397,0.63183415,3.40066,4.232578,0.03924646,1.7475736,1.5284859,0.7337932,3.2546446,1.179329,7.289281,1.3467417,15.737053,0.5858093,593.0909,0.48419034,1083.9106,0.2471548,-85.181854,-1.0465124,1669.5779,0.19179828,695.67706,0.48636106,-86.20677,-0.9677969,2644.3398,0.11892705,733.0567,0.35618007,-83.96093,-1.007506,-9.17709,-0.8135692,14.482784,0.56769145,0.032416493,1.0063947,-0.019024765,-0.7207951,0.81634146,0.7583086,22.398813,0.6281638,1.3475567,10.203716,32.8569,0.5178819,1.2479001,13.098438,-7.1386113,14.264864,-0.021785388,-0.0057007065,0.15469047,3.8411765,2.465576,0.24785201,0.1995297,0.15727273,0.24744207,-25.78972
82,LDV07,23.139776,0.17153347,20.360138,22.949114,26.119255,5.759117,218.85118,293.63217,131.8723,227.96002,0.71861297,0.9777739,0.15686224,0.493883,1.1591239,1.0022616,16.017817,11.227361,13.913802,11.456986,0.5201597,1.3671484,22.67841,0.6074096,7.457089,1.5086322,9.140779,1.4593809,1.4709191,8.318066,0.04286492,1.7803949,1.7299517,0.7273427,1.6580927,2.5802581,4.6897945,1.9974865,26.311546,0.34067187,544.86566,0.45293668,1199.4248,0.20441635,-88.95843,-1.0319487,1556.0725,0.20127372,862.38,0.32924697,-95.0586,-0.8955109,2602.5142,0.13219522,734.6625,0.39897323,-98.25268,-0.8387526,-15.3149805,-0.47073522,23.855827,0.33331588,0.040947534,0.7503105,-0.020304723,-0.7350535,0.7796118,1.0316803,29.705042,0.37405002,8.89682,1.2556955,13.25408,1.0682575,1.4480215,9.852854,-5.804765,13.694578,0.04218779,-0.005712907,0.15291896,2.488889,2.7620318,0.20160964,0.20394164,0.15045951,0.19369718,-24.399551
