ID,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm
OCM07,5.565834,2.836353,24.75926,0.5828282,19.836906,0.68728065,-4.573461,-3.2745118,11.7236595,1.1980366,23.116915,0.6679942,19.674154,0.7806163,-7.8860674,-2.0777876
LYO10,7.252545,1.9601256,-9.449325,-1.6479465,3.893938,3.894544,-13.068002,-1.3728274,10.69058,1.334803,-11.773385,-1.4502732,3.2146187,5.316699,-20.185745,-0.87007296
BRE09,22.916416,0.67179567,11.232824,1.2625859,7.5508704,1.9748346,-5.154813,-2.8609364,29.988398,0.4237978,12.066503,1.1451687,6.9857545,2.4573948,-9.493025,-1.6255412
SPC05,17.35276,0.8840011,3.2796557,4.0680556,27.347397,0.63183415,3.40066,4.232578,22.398813,0.6281638,1.3475567,10.203716,32.8569,0.5178819,1.2479001,13.098438
LDV07,22.67841,0.6074096,7.457089,1.5086322,9.140779,1.4593809,1.4709191,8.318066,29.705042,0.37405002,8.89682,1.2556955,13.25408,1.0682575,1.4480215,9.852854
BFC04,15.128981,0.67408806,-5.21556,-2.710195,7.8239937,2.0027392,-12.44193,-1.5930145,18.319117,0.51037824,-7.455629,-2.068747,9.264345,1.8815095,-19.22282,-1.031983
CFE11,22.776747,0.5515078,16.3463,0.834645,4.3517323,2.968301,-0.94076806,-12.47541,27.012398,0.42733902,17.365421,0.77569735,4.6452527,3.0638824,-3.3485725,-3.6877286
POF03,17.559666,0.88657504,6.9986005,1.8419343,10.529502,1.4043787,-2.1086848,-6.888699,25.377504,0.49689993,8.294121,1.5969318,14.629239,1.0825071,-2.7959516,-6.0743732
UPS15,12.608356,1.0753976,8.294021,2.0820544,8.987095,1.6828072,-9.85384,-1.6626474,17.323606,0.691672,5.8920674,3.0123374,8.87173,1.8647455,-15.102534,-1.0677211
ALS05,16.368471,0.83076245,14.244898,1.0575073,7.2288237,2.4768956,-22.981707,-0.94316417,19.414246,0.6231775,13.892816,1.0764955,8.4029455,2.263728,-27.352175,-0.7787386
BOD04,19.433384,0.6988972,4.917683,3.1868527,17.195595,0.94694966,-7.1967487,-2.2355025,23.255527,0.49841446,1.5742067,9.9014,18.604126,0.9548218,-8.734903,-1.987626
GRE07,10.301356,1.2988662,12.5206375,0.8956607,7.1309333,1.9632306,-2.754469,-4.8773737,17.71151,0.6652053,12.045301,1.0147803,8.311019,1.9528143,-6.24297,-2.4064987
LYO11,13.095425,1.2117634,2.8678558,4.850168,14.110522,1.112134,-4.720471,-3.760397,20.57174,0.6876522,5.3543396,2.6318867,17.912329,0.9949552,-10.181866,-1.9788725
OCM02,6.4351435,2.0203135,21.139154,0.69149363,11.801907,1.1160681,-16.180183,-0.9432142,12.312712,0.9369867,19.322397,0.7967431,11.351984,1.2600931,-22.340946,-0.65275544
UPS02,17.656006,0.8715594,18.716858,0.7294858,15.276605,0.93907905,3.8358269,3.8918977,24.04717,0.50125194,20.00296,0.58571666,17.045757,0.9208466,3.3393435,5.0674653
SEN01,18.021852,0.7316641,19.699783,0.71757865,16.442715,0.84611434,2.4885354,7.5135927,24.178444,0.4609467,19.361574,0.7818684,16.302027,0.9743893,-6.9897757,-2.6512554
OCM14,8.986371,1.513657,27.478811,0.45667598,22.407888,0.6878537,-12.0271015,-1.4263223,14.374644,0.8069623,27.370113,0.48908496,26.69038,0.6174148,-14.278939,-1.3808718
PES04,19.700844,0.86396915,9.645993,1.3851299,8.484668,1.8754056,-6.169588,-1.9175658,29.947239,0.42314962,10.29193,1.3377049,12.762332,1.3681761,-7.4288,-1.7247766
NOR05,24.487167,0.38518932,-5.7522306,-2.4171903,-0.6609784,-23.080984,-9.928101,-1.3394426,26.510569,0.31909034,-7.2094913,-1.9566406,-1.4667126,-10.751923,-12.015817,-1.0919051
