ID,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,equivalentSoundLevel_dBp,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength
LYO13,0.8308132,0.89495414,0.08314341,0.70828605,1.4903642,1.4072208,21.352432,12.9259615,17.348566,10.142294,-25.60541,4.4157305,2.4334044,0.23030023,0.21919367,0.1892011,0.31035346
BOD11,0.6858759,0.8374775,0.17040852,0.5505938,1.1201303,0.9497218,16.245346,10.125053,11.359165,7.475048,-27.156326,3.5740669,2.3191042,0.29193628,0.2569417,0.13653295,0.1973136
BRE03,0.5925898,0.64704967,0.2426961,0.529904,0.8968563,0.6541602,10.644891,6.066958,9.390817,5.383304,-30.391352,4.7765365,2.5705504,0.25349998,0.2298433,0.12794118,0.18709116
SOU11,0.461196,0.8731892,0.10520865,0.33620906,0.7881078,0.6828992,9.319521,5.6372886,8.768192,5.6663103,-30.887173,3.5057504,2.7177236,0.20850715,0.1780341,0.15008889,0.22144882
CFE01,1.3881733,0.56255096,0.57040715,1.3712648,2.0583398,1.4879327,20.114262,11.942135,12.829937,7.190686,-16.308968,3.5887766,2.0121183,0.394375,0.40743637,0.107557245,0.13966756
LYO05,1.1858726,0.82884425,0.23420128,1.013507,1.9549745,1.7207732,27.0016,16.581211,23.370707,15.382886,-23.840738,4.2719235,3.0765672,0.20477444,0.18961416,0.117142856,0.16430005
LOR08,1.0026858,0.67389935,0.34164047,0.93696487,1.5336645,1.192024,16.414433,10.962988,13.257214,9.414049,-22.1637,3.488889,2.309276,0.29896384,0.29495463,0.13076057,0.17648284
UCA12,1.4817532,0.816903,0.37499583,1.1783996,2.5062516,2.1312556,36.191235,21.380516,29.529034,16.24198,-18.643559,4.880682,2.7678318,0.2542505,0.23141956,0.099352516,0.101510465
ALS01,0.8284152,0.8125734,0.19716504,0.6883762,1.381536,1.184371,17.980385,10.601069,14.720658,8.902377,-23.92611,3.9217877,2.3530068,0.2957957,0.28463534,0.12440443,0.18971987
GRE08,0.9386763,0.8044288,0.18911828,0.82075036,1.51826,1.3291417,17.878002,11.470179,15.176689,9.947169,-24.90662,3.3756907,2.1985934,0.2906801,0.2472301,0.16319884,0.2364577
LYO03,1.0328264,0.7558229,0.25789806,0.9085228,1.6962106,1.4383125,23.303562,13.124005,18.492819,10.969646,-22.387608,4.7513814,2.8626692,0.21403474,0.1978459,0.12548935,0.39231873
SPC07,0.71862096,0.84369165,0.17667024,0.56825167,1.1612794,0.9846092,12.90232,8.454549,11.814134,7.761561,-26.79784,3.0907335,2.0460358,0.31875,0.2527457,0.16749215,0.2429638
SOU02,0.4192883,0.7995576,0.13691795,0.31807405,0.6514434,0.5145255,8.057624,5.530863,7.3238006,4.9883504,-30.774181,3.1115582,2.6096675,0.2198287,0.18703808,0.15546729,0.18290369
OCM07,0.55949545,0.78300184,0.1571658,0.48462287,0.8670695,0.7099037,12.020842,7.7904396,10.07097,7.673401,-29.62414,3.3521428,2.995585,0.19285448,0.1508739,0.13471578,0.18028413
LYO10,0.9805744,0.89373916,0.15684092,0.7700168,1.693829,1.5369881,22.063093,14.542756,17.661348,10.568659,-26.48934,3.486188,2.05029,0.30959567,0.26727656,0.17636363,0.27957234
BRE09,0.5708961,0.7542469,0.14155534,0.50497115,0.9384563,0.796901,11.752886,7.915226,10.051536,6.5961747,-28.37962,3.6927373,2.2242093,0.26816583,0.22801393,0.16769229,0.24965474
SPC05,0.9268405,0.85870373,0.14763139,0.77029896,1.5470873,1.3994559,19.934216,12.483819,17.575663,10.325854,-25.78972,3.8411765,2.465576,0.24785201,0.1995297,0.15727273,0.24744207
LDV07,0.71861297,0.9777739,0.15686224,0.493883,1.1591239,1.0022616,16.017817,11.227361,13.913802,11.456986,-24.399551,2.488889,2.7620318,0.20160964,0.20394164,0.15045951,0.19369718
BFC04,1.2711892,0.9063536,0.28059703,0.94746035,2.0809913,1.8003943,29.726576,19.0383,22.107914,13.610596,-21.78389,3.533146,2.0427725,0.31906158,0.2918224,0.17989324,0.25352243
CFE11,1.1224836,0.66932905,0.35269666,1.0234325,1.761144,1.4084474,17.023184,11.338228,11.630551,8.057546,-20.071312,2.8831732,2.3617673,0.28190586,0.32667726,0.14776163,0.16783652
POF03,0.5549165,0.7007302,0.1908232,0.47600114,0.8586918,0.6678686,10.092916,6.2132463,8.985341,5.77304,-30.603304,3.8897178,2.2112887,0.27192497,0.23616213,0.1641237,0.2405803
UPS15,0.81262475,0.8627319,0.15785342,0.65107924,1.3991222,1.2412689,17.98671,10.17691,14.822937,8.627678,-26.256252,3.6706634,2.2905536,0.27910668,0.2749667,0.15057692,0.24595955
ALS05,1.3849347,0.79726946,0.46266294,1.0689737,2.2024632,1.7398002,26.599787,15.933001,22.228931,13.395889,-17.7923,4.056497,2.3125637,0.33381414,0.32035834,0.09803797,0.12488196
BOD04,1.0393431,0.81592035,0.17156163,0.91568094,1.8567982,1.6852366,20.544167,10.518502,16.035456,8.95492,-23.627008,3.7716444,1.9322015,0.3726923,0.37489337,0.14078498,0.19324885
GRE07,0.6192128,0.95482266,0.10585373,0.43296325,1.0468585,0.9410048,12.430807,8.261309,11.742129,8.793533,-30.00086,2.7653632,2.004816,0.25905028,0.2238508,0.23575301,0.33279994
LYO11,0.78145486,0.9956987,0.11665036,0.5436361,1.3327264,1.216076,21.40411,14.845837,15.440114,10.589197,-25.136795,3.178771,2.5876043,0.21166307,0.19861297,0.16961813,0.27231926
OCM02,0.6254038,0.76229435,0.1753295,0.5488663,0.9852725,0.809943,11.696716,7.429361,9.326789,6.6747594,-30.295536,3.1414206,2.5942464,0.21300653,0.17851266,0.16525058,0.25408295
