ID,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,hammarbergIndexUV_sma3nz_amean
LYO10,0.034024123,1.9801053,1.1281456,0.78596103,6.699733,0.877135,12.65348,0.79816544,4.6744437
BRE09,0.03690458,2.2888455,1.1340461,0.895978,7.996022,0.68294233,28.815258,0.32679328,15.609841
SPC05,0.03924646,1.7475736,1.5284859,0.7337932,3.2546446,1.179329,14.482784,0.56769145,14.264864
LDV07,0.04286492,1.7803949,1.7299517,0.7273427,1.6580927,2.5802581,23.855827,0.33331588,13.694578
BFC04,0.03767103,1.8884344,1.2187233,0.7055311,6.7967453,0.7187727,17.503675,0.44057506,9.368162
CFE11,0.07745649,1.5821313,1.5116287,0.57207704,3.6438313,1.5386677,29.656805,0.28934568,19.612963
POF03,0.034322925,1.7694503,1.2512351,0.7759847,5.5871053,0.77489716,23.471016,0.40185097,9.363527
UPS15,0.041702922,1.9553405,1.1723791,0.8507705,7.8430066,0.65080124,21.231876,0.44381762,12.306284
ALS05,0.04162986,2.2778347,1.1380285,0.8929674,8.63677,0.6635117,25.86595,0.37370473,13.148208
BOD04,0.04393211,2.0221562,1.2620065,0.8210644,6.091192,0.85858214,18.412785,0.4499436,14.422133
GRE07,0.03702402,1.5395159,1.407934,0.72186506,3.386867,1.2832583,18.097963,0.507579,12.138641
LYO11,0.039655298,1.9589684,1.3548816,0.8411209,5.68561,0.9821547,19.982029,0.50341094,7.4179792
OCM02,0.028857201,2.1043806,0.98057896,0.8606849,8.086395,0.6190991,19.418234,0.47581995,8.888598
UPS02,0.05783873,2.132774,1.3793815,0.85988826,6.462811,0.7699914,27.073181,0.3354667,13.062119
SEN01,0.06517042,1.8880061,1.3723818,0.8414081,4.4418,1.4365547,28.649607,0.26498508,30.901264
OCM14,0.04479412,1.9267315,1.3908129,0.81793875,4.2423687,1.0069002,18.816269,0.4588823,10.910363
PES04,0.040086854,2.0151653,1.4478596,0.8137897,2.8717928,1.5947152,25.81131,0.3609684,11.496183
NOR05,0.050007854,2.0408688,1.1598055,0.742858,5.421679,1.1174496,20.937424,0.32355034,13.7556925
UPS03,0.059258748,1.8756843,1.4116373,0.8940422,6.284549,0.75251234,27.338238,0.3235305,12.701515
UPS11,0.05917414,1.8467504,1.377829,0.8576281,6.2007275,0.9984475,26.231897,0.4048143,11.173995
CVL01,0.039458387,1.8575042,1.14406,0.7121499,6.3205247,0.93226725,23.401354,0.42388105,9.935321
BRE16,0.04919538,1.873272,1.6793339,0.71960765,3.5971692,1.1919413,24.01251,0.38146442,14.06539
LOR04,0.059755664,1.8620933,1.4877608,0.7904559,3.408087,1.4884127,21.496674,0.37498018,12.997133
LYO12,0.042763088,1.818684,1.6054368,0.76509905,2.8183568,1.6361463,17.63899,0.51377034,7.9269013
BRE14,0.046938356,2.110396,1.197286,0.8694373,7.565793,0.77218735,28.437674,0.3607448,14.591233
HES07,0.03524493,1.7523739,1.5789311,0.65175563,3.404709,1.2788701,18.943796,0.41591778,10.240359
UCA13,0.044760194,1.7949958,1.4320989,0.753402,4.47069,1.1651187,20.49849,0.5092781,7.7002096
ALS03,0.04224626,2.119643,1.5447885,0.7920586,4.3051305,1.066123,22.891922,0.32554033,12.01207
CFE08,0.075441845,1.585387,1.554579,0.6035909,4.674914,1.3023093,31.915625,0.2656319,17.242496
BRE15,0.043553345,2.04136,1.247019,0.76816404,6.9032674,0.77498347,25.943134,0.3545558,13.773178
GRE12,0.05333904,1.8235049,1.7157352,0.6700824,2.1272974,2.147543,17.052303,0.45152923,12.127532
UPS08,0.04571705,2.0184736,1.177706,0.9530643,7.648024,0.7144099,25.900066,0.36705858,9.790746
GRE10,0.038304776,1.988696,1.1248616,0.74999523,6.9349823,0.87246126,18.956038,0.59476495,9.358995
HES01,0.030286234,1.9556307,1.2256229,0.72445434,6.264511,0.8293351,19.13893,0.4291312,8.739955
LOR10,0.07185301,1.9194452,1.5917588,0.7713853,3.6288373,1.4532857,26.20456,0.32696,13.958574
LRE05,0.04549209,1.8137455,1.3156495,0.5239257,4.0360003,1.1938967,17.57208,0.38360158,11.13194
LDV02,0.036907878,1.7264713,1.4876053,0.6912098,4.35178,0.98918635,25.735601,0.36906877,10.344053
UPL02,0.0615002,2.059013,1.3019323,0.98000145,6.812603,0.9781725,30.110703,0.3289685,17.699419
LYO01,0.04075503,1.7480959,1.2107748,0.85141706,6.2086353,0.86410874,19.333244,0.590596,6.8573117
SOU08,0.049760625,2.1063085,1.2550186,0.8899553,8.171241,0.590774,28.059868,0.2882063,31.019863
BRE05,0.05474775,1.7836497,1.8618567,0.6875567,2.8491123,1.5078263,19.797377,0.40505683,13.211682
CVL02,0.03927355,1.5860747,1.5318043,0.673625,1.9413705,2.0238912,18.125683,0.40129572,6.734232
HES02,0.04752601,1.6816154,1.5467875,0.66076535,3.128438,1.4792309,16.609102,0.44631806,8.076867
SPC04,0.03764998,1.7594684,1.3662916,0.7563158,4.756099,0.87248784,17.354034,0.53128713,11.535699
ALS09,0.04826213,2.1697354,1.3275422,0.8015733,6.9162135,0.79930145,26.312088,0.34331647,10.676807
SPC09,0.05127705,2.1173735,1.3189417,0.91867894,5.3747606,0.90011346,26.280855,0.3316566,14.190885
UPS13,0.05098797,2.0780003,1.3811023,0.8165565,5.0650697,1.017468,23.894384,0.4201305,12.644377
CVL04,0.042580318,1.7873017,1.1472688,0.7373423,6.791024,0.82899255,23.533058,0.36210135,12.217573
BOD07,0.035283025,2.002301,1.1636149,0.6875444,7.2791367,0.71232325,24.124647,0.3876421,14.5043745
SOU12,0.037189458,2.300297,1.2786459,0.87620723,8.362775,0.55208486,28.881565,0.28289595,33.925304
ALS04,0.034217138,2.1547105,1.0767081,0.79472214,8.594867,0.6161752,23.598064,0.42501774,10.43438
GRE01,0.042313684,1.9478046,1.3155646,0.6954403,6.0427475,0.94775575,22.04929,0.41334713,10.181368
BRE02,0.039250154,2.1604567,1.1982782,0.90514636,8.180034,0.66788954,25.054934,0.35298833,12.670581
PES08,0.035474814,2.0272772,1.3299812,0.76216793,4.8845186,0.9828285,22.388168,0.4409984,7.866628
LRE06,0.058961134,1.6337667,1.3701999,0.5654326,3.37355,1.6888431,19.062405,0.42603403,12.702863
BFC09,0.03600484,1.6049215,1.4186636,0.8163991,4.322899,1.0516549,18.923485,0.43189728,10.150763
LDV06,0.04514048,2.13758,1.2863039,0.9049934,7.1615543,0.92723423,27.474878,0.3482523,16.570925
NOR12,0.043241356,1.8902602,1.1371884,0.81577814,4.67649,1.0058255,26.237965,0.30723113,11.842491
UPL01,0.035154622,2.523808,0.95707273,1.0014443,8.485331,0.6615641,27.921524,0.3841759,13.486584
NOR02,0.04830021,1.7674148,1.2273389,0.58114177,4.9495673,1.0927761,23.048256,0.34119204,9.682253
UCA08,0.04267803,1.8167804,1.3867501,0.7150956,4.5810084,1.1125855,15.81694,0.74064404,6.2385826
UPS05,0.049099457,1.9919975,1.3154721,0.84077257,5.5683966,1.0360861,21.905748,0.36594853,13.363628
UPS06,0.040762514,2.2662215,1.118692,0.90789694,8.090132,0.6731617,25.355585,0.37894475,13.885731
OCM08,0.051156748,1.7546045,1.5020322,0.6615673,2.925547,1.4393342,14.650591,0.5777146,10.030347
NOR01,0.05492515,1.7972089,1.1596231,0.6684331,6.7387753,0.9393942,26.432976,0.32892707,12.65465
LOR05,0.05453704,1.9385768,1.6958922,0.7446062,3.48906,1.3055289,23.075485,0.36875126,15.262696
SOU05,0.048831534,2.011721,1.5050619,0.77099854,7.3492093,0.61525476,31.554434,0.24355264,34.631413
LDV04,0.033590145,1.6657746,1.5973257,0.7172538,3.2488327,1.1575289,23.069662,0.33876574,11.264081
CFE02,0.08965887,1.5655746,1.5667467,0.5963662,3.413945,1.7611027,28.98037,0.28847238,17.33743
SOU14,0.035998892,1.9334393,1.038932,0.88124555,9.679147,0.48122752,31.259182,0.2652929,31.856709
UCA15,0.046565756,1.7276351,1.4592446,0.7573957,5.0261774,1.0841987,20.206808,0.6127032,3.7698689
GRE04,0.047693018,1.6931657,1.6425216,0.70641136,2.2759945,2.1099267,19.495014,0.56270176,13.320906
LYO08,0.024694314,2.1822577,1.0419524,0.8609269,7.887668,0.6338925,16.227451,0.637661,5.495264
BRE08,0.060503613,1.7536137,1.2850742,0.86677647,7.4649186,0.7982271,29.256372,0.3113231,14.323921
NOR11,0.08062882,1.615027,1.4474114,0.75079274,2.0953765,2.2220187,23.035952,0.3098867,13.057821
LOR03,0.043747224,1.885108,1.2738289,0.710164,6.6768785,0.8425571,24.13862,0.34084105,12.592073
LYO04,0.028505513,1.7797651,1.2212386,0.8269572,6.7628045,0.87432724,15.345476,0.70267344,4.520321
OCM17,0.046376,2.1771507,1.3111877,0.8551022,5.494408,0.8971384,22.576372,0.40597856,10.946443
PES03,0.04981622,1.9474578,1.597217,0.7504281,3.4885273,1.3442075,22.532024,0.41283572,8.578138
ALS02,0.059754558,1.7957314,1.7983586,0.7346385,1.9378883,2.3730025,26.271189,0.30586788,11.8176565
SPC03,0.047818836,1.8459148,1.2838202,0.7841588,7.11455,0.8441067,21.701574,0.484343,9.041578
BFC07,0.032010294,1.8821491,1.4668822,0.7226415,4.3253827,0.9122972,16.967407,0.5651345,8.086308
NOR04,0.059254836,1.8486835,1.2629834,0.61912626,4.9635406,1.1112037,25.898355,0.2976978,14.756042
OCM20,0.034512334,2.1553094,1.0504087,0.9594388,8.823491,0.55085707,20.47696,0.42539743,11.939258
PES07,0.036725502,1.9582931,1.1246647,0.8982445,8.111304,0.69688773,22.848621,0.5109116,8.120893
LOR02,0.040206544,1.8869296,1.6310194,0.80061394,3.4227014,1.3273592,30.695456,0.32168248,14.410989
OCM10,0.047572583,1.8934689,1.0713315,0.8221512,6.3779955,0.8143865,22.250996,0.41810805,7.5119567
BRE12,0.04403724,1.8158731,1.316456,0.6773098,4.775235,1.0645719,15.073528,0.5327751,9.403873
UCA10,0.044084895,1.8250663,1.4104298,0.863745,4.981386,1.0943985,29.559683,0.4938848,7.821084
SOU10,0.036560304,1.8053356,1.547325,0.78034925,5.8001823,0.6155003,26.104963,0.2899083,32.46611
CFE05,0.07709786,1.6922634,1.5624224,0.57952815,3.6976104,1.603801,27.995249,0.28517592,19.210243
HES05,0.041326366,1.9059962,1.5923685,0.6875785,2.9321737,1.4619633,17.098936,0.4014592,10.263548
CFE07,0.08439201,1.6274765,1.5394508,0.6085568,3.6689222,1.605035,29.240675,0.28319353,18.453098
UPS01,0.043592397,2.1491773,1.333061,0.8453783,6.102132,0.7376871,23.281303,0.3494952,10.688929
BRE06,0.047639348,2.095447,1.1842376,0.91436654,7.466571,0.72475755,22.816181,0.37617916,10.415387
ALS11,0.054408528,1.8869181,1.3808471,0.8075039,6.825191,0.9180813,26.095753,0.37172174,11.799107
