ID,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm
HES01,37.128258,0.12103153,34.128876,37.15395,40.29844,6.1695633,220.29555,498.9845,69.80591,104.84535,599.6995,0.43431187,1215.5273,0.23355694,-96.88268,-0.94150466,1635.7892,0.18539341,838.4412,0.4783484,-82.8466,-0.99500537,2679.5654,0.107864134,818.1008,0.5228878,-84.69084,-0.95247936,-9.96109,-0.6750665,-1.203854,6.5616536,1.4505394,16.138918,0.6276081
LOR10,25.82772,0.2259962,22.093857,26.042099,30.328262,8.2344055,276.33847,319.14108,147.40273,240.18687,561.9598,0.46979,1194.5887,0.22151725,-70.86854,-1.1981515,1650.7765,0.19457437,873.7755,0.38820753,-79.45789,-0.9596515,2637.6147,0.12280295,769.67285,0.4226671,-80.57432,-0.9360584,-19.27227,-0.39255473,-6.6776953,6.666673,2.2260077,26.001345,0.4874132
LRE05,36.658264,0.17616813,33.58912,38.102707,41.411003,7.821884,196.57741,244.0493,138.56245,231.11421,578.54596,0.45797217,1230.6597,0.22168227,-53.054203,-1.536519,1618.696,0.16512838,933.9039,0.4307885,-43.117855,-1.5126803,2591.128,0.11046719,914.62085,0.47259906,-45.13324,-1.4212731,-9.248374,-0.601989,-3.5961637,7.7902455,1.579583,16.139269,0.6286907
LDV02,28.597172,0.13252486,26.21573,28.356512,31.242292,5.0265617,233.18513,416.4713,134.74974,332.83115,502.2857,0.45353562,1186.62,0.20624426,-70.27087,-1.2468859,1527.3513,0.18419291,871.7089,0.37266397,-78.248985,-1.0013154,2565.9905,0.1091772,782.0833,0.38582793,-81.629875,-0.9299504,-16.144234,-0.50411046,-2.671742,8.647842,1.1571895,27.515461,0.39360154
UPL02,32.321854,0.26782364,23.856209,34.779247,38.48215,14.625942,335.32233,402.30212,252.68471,453.5939,545.056,0.39847174,1239.7719,0.19166978,-105.89839,-0.83146864,1679.7784,0.17310701,881.23004,0.4176141,-102.96674,-0.76043373,2698.2756,0.10175892,792.55066,0.5029671,-104.4984,-0.7343702,-21.1312,-0.40720192,-10.249391,8.640708,3.4543386,20.672575,1.1646453
LYO01,36.14619,0.1913192,32.073887,35.419586,40.043526,7.969639,251.54626,392.73398,197.26193,398.9969,613.43604,0.44318548,1131.9413,0.26649606,-105.78026,-0.8537293,1698.4802,0.19430758,780.4145,0.56603974,-96.73037,-0.8632061,2781.9558,0.10734835,781.8933,0.69850093,-97.2168,-0.84788144,-10.774671,-0.98489434,1.0002353,7.1089377,1.9828258,16.08836,0.83833164
SOU08,34.919064,0.18593085,32.101402,35.82041,39.751656,7.6502533,282.21027,423.5478,152.12527,251.32724,557.7782,0.37596005,1241.0465,0.18101685,-100.327644,-0.88220346,1693.1653,0.1649777,858.96216,0.51074255,-95.07317,-0.8276419,2748.71,0.09608097,772.0249,0.5987262,-96.75658,-0.7976384,-19.450172,-0.35525963,-20.671078,10.442514,1.134619,23.202759,0.45331815
BRE05,27.810368,0.19077542,23.666641,27.914236,32.13848,8.47184,222.48311,282.18118,125.557846,168.066,576.31665,0.4635685,1124.7601,0.22643062,-91.91366,-0.9940094,1633.3853,0.19548416,766.0598,0.40293965,-93.92944,-0.9001415,2640.5825,0.11082328,705.58704,0.38431954,-94.33263,-0.8914783,-12.845356,-0.5472588,-6.1535306,5.875615,2.3773267,19.529448,0.5155307
CVL02,26.276096,0.1653701,23.70337,25.811893,28.538559,4.83519,177.82826,427.8122,93.418236,152.43427,546.69226,0.4769232,1199.9144,0.20054005,-64.05929,-1.3459946,1560.1813,0.20540868,868.13293,0.3022664,-69.43006,-1.1463192,2560.7146,0.12575598,738.8471,0.3173055,-72.002625,-1.0807158,-10.966496,-0.60455036,0.047512442,-3.113405,-2.505588,15.464641,0.5855476
HES02,31.290558,0.19415928,28.010386,31.45599,35.40981,7.3994236,260.51895,456.1323,140.0563,184.6526,657.5583,0.46925196,1069.2725,0.27211747,-96.38049,-0.9286236,1704.5643,0.20089012,752.93414,0.37233266,-90.90128,-0.9253894,2709.9502,0.13072756,715.8992,0.34822005,-91.807465,-0.9054743,-9.129609,-0.73479927,-0.6501517,5.7581387,2.144523,15.841406,0.75630116
