ID,Segment,WC,WPS,BigWords,emopos,emoneg,anxiete,colère,tristesse,cognition,perspicacite,cause,divergence,tentative,certitude,inhibition,inclusion,exclusion,perception,remplisseur
BOD14,1,537,19.89,20.67,3.17,1.68,0,0,0.56,21.79,3.91,2.98,1.86,2.98,1.68,0.93,11.17,3.54,2.23,0
OCM12,1,557,16.88,24.42,2.87,0.9,0.36,0,0.36,18.85,3.77,3.05,1.62,1.97,2.69,0.36,10.23,2.33,1.08,0
POF02,1,437,14.57,26.09,4.35,2.06,0.23,0,1.37,24.26,5.03,2.29,1.83,1.6,2.29,1.14,11.9,6.64,2.29,0
LYO13,1,639,14.86,20.34,6.42,0.16,0.16,0,0.16,21.6,2.03,3.76,1.41,2.82,1.72,0.31,12.21,4.69,2.5,0
SPC02,1,576,15.16,27.26,1.04,2.26,0,0.69,0.35,19.79,2.43,2.26,2.95,1.39,1.91,1.04,10.94,3.65,1.74,0
ALS03,1,533,21.32,25.7,3.75,0.75,0,0,0.19,20.83,3.94,2.06,2.06,3,2.44,0.94,12.95,3.94,1.13,0
NOR09,1,612,13.91,15.36,4.41,3.43,0.33,0.49,0.82,18.14,0.82,2.45,1.8,2.29,2.12,1.14,9.97,4.25,2.78,0
BRE14,1,507,14.49,24.46,1.18,0.99,0.2,0.59,0.39,20.12,5.52,4.93,1.97,0.79,1.58,0.99,7.89,1.18,3.16,0
LYO12,1,452,12.91,25.66,4.2,0,0,0,0,24.34,3.98,4.65,1.33,3.76,2.65,0.44,10.18,2.65,1.99,0
PES04,1,280,12.73,26.43,1.79,0.71,0.71,0,0.36,12.86,2.5,0.71,0.36,2.14,0.36,0.71,9.29,2.14,2.86,0
CFE06,1,453,14.16,25.61,2.87,0.44,0,0.22,0,17.22,2.65,2.43,2.43,1.77,1.1,0.22,8.83,4.42,2.21,0
UCA03,1,847,8.07,0.12,0,0,0,0,0,40.73,0.12,2.01,0.12,12.28,13.7,0,19.83,0,7.2,0
HES08,1,545,17.03,26.61,4.04,0.92,0,0,1.1,23.49,5.5,2.57,2.39,2.02,2.57,0.37,7.89,3.49,3.67,0
BOD13,1,487,19.48,27.31,2.46,1.03,0,0.41,0,12.94,2.05,2.05,0.82,0.62,0.82,0.41,8.21,1.03,1.44,0
BOD06,1,490,14.41,30.2,2.24,3.88,0.2,1.02,1.43,21.84,4.29,2.86,1.63,1.63,2.65,2.04,7.55,2.45,2.86,0
BFC09,1,487,18.73,26.08,4.72,2.46,0,0.41,0,23,2.87,4.11,3.7,2.05,2.87,0.82,10.68,4.31,1.64,0
