ID,DISC_RefExprPronounsPerNoun,DISC_RefExprPronounsPerSen,DISC_RefExprPronounsPerWord,DISC_RefExprPerPronounsPerSen,DISC_RefExprPerProPerWord,DISC_RefExprPossProPerSen,DISC_RefExprPossProPerWord,DISC_RefExprDefArtPerSen,DISC_RefExprDefArtPerWord,DISC_RefExprProperNounsPerNoun
AMU08,0.0847457627118644,0.384615384615385,0.0202020202020202,0.384615384615385,0.0202020202020202,0,0,0,0,0.0254237288135593
AMU03,0.122641509433962,0.433333333333333,0.0242537313432836,0.433333333333333,0.0242537313432836,0,0,0,0,0.0566037735849057
AMU04,0.163461538461538,0.472222222222222,0.0319548872180451,0.472222222222222,0.0319548872180451,0,0,0,0,0.0192307692307692
AMU10,0.182692307692308,0.513513513513514,0.0355140186915888,0.513513513513514,0.0355140186915888,0,0,0,0,0.0673076923076923
AMU11,0.275,0.611111111111111,0.0492170022371365,0.611111111111111,0.0492170022371365,0,0,0,0,0.05
AMU07,0.0373831775700935,0.2,0.008080808080808,0.2,0.008080808080808,0,0,0,0,0.0373831775700935
AMU09,0.144578313253012,0.352941176470588,0.0264900662251656,0.352941176470588,0.0264900662251656,0,0,0,0,0.108433734939759
AMU06,0.188888888888889,0.414634146341463,0.0295138888888889,0.414634146341463,0.0295138888888889,0,0,0,0,0.122222222222222
AMU01,0.266666666666667,0.615384615384615,0.0488798370672098,0.615384615384615,0.0488798370672098,0,0,0,0,0.0222222222222222
AMU05,0.118279569892473,0.354838709677419,0.0232558139534884,0.354838709677419,0.0232558139534884,0,0,0,0,0.0752688172043011
NOR03,0.261261261261261,0.707317073170732,0.0436746987951807,0.707317073170732,0.0436746987951807,0,0,0,0,0.0540540540540541
NOR01,0.0652173913043478,0.222222222222222,0.012847965738758,0.222222222222222,0.012847965738758,0,0,0,0,0.0543478260869565
NOR12,0.216981132075472,0.657142857142857,0.0365079365079365,0.657142857142857,0.0365079365079365,0,0,0,0,0.0566037735849057
NOR07,0.0340909090909091,0.2,0.0066815144766147,0.2,0.0066815144766147,0,0,0,0,0.0113636363636364
NOR06,0.193181818181818,0.386363636363636,0.0313075506445672,0.386363636363636,0.0313075506445672,0,0,0,0,0.227272727272727
NOR04,0.168674698795181,0.875,0.0300429184549356,0.875,0.0300429184549356,0,0,0,0,0.0481927710843374
NOR10,0.0694444444444445,0.172413793103448,0.0121359223300971,0.172413793103448,0.0121359223300971,0,0,0,0,0.0416666666666667
NOR05,0.0957446808510638,0.3,0.0185950413223141,0.3,0.0185950413223141,0,0,0,0,0.0531914893617021
NOR11,0.184873949579832,0.709677419354839,0.0328358208955224,0.709677419354839,0.0328358208955224,0,0,0,0,0.0504201680672269
NOR09,0.224299065420561,0.545454545454545,0.0382775119617225,0.545454545454545,0.0382775119617225,0,0,0,0,0.0841121495327103
NOR08,0.132530120481928,0.323529411764706,0.0244988864142539,0.323529411764706,0.0244988864142539,0,0,0,0,0.0843373493975904
NOR02,0.141176470588235,0.428571428571429,0.0251572327044025,0.428571428571429,0.0251572327044025,0,0,0,0,0.0470588235294118
LRE11,0.145631067961165,0.483870967741936,0.0282485875706215,0.483870967741936,0.0282485875706215,0,0,0,0,0.029126213592233
LRE07,0.340659340659341,0.837837837837838,0.052013422818792,0.837837837837838,0.052013422818792,0,0,0,0,0.0879120879120879
LRE05,0.111111111111111,0.454545454545455,0.0188679245283019,0.454545454545455,0.0188679245283019,0,0,0,0,0.0444444444444444
LRE03,0.0416666666666667,0.176470588235294,0.0085470085470085,0.176470588235294,0.0085470085470085,0,0,0,0,0.0833333333333333
LRE09,0.25,0.758620689655172,0.0472103004291846,0.758620689655172,0.0472103004291846,0,0,0,0,0.0113636363636364
LRE06,0.216666666666667,0.541666666666667,0.0305882352941177,0.541666666666667,0.0305882352941177,0,0,0,0,0.0666666666666667
LRE04,0.148514851485149,0.555555555555556,0.0268336314847943,0.555555555555556,0.0268336314847943,0,0,0,0,0.099009900990099
LRE10,0.17,0.45945945945946,0.0313653136531365,0.45945945945946,0.0313653136531365,0,0,0,0,0.04
LRE08,0.154761904761905,0.590909090909091,0.0281995661605206,0.590909090909091,0.0281995661605206,0,0,0,0,0.0714285714285714
LRE01,0.10752688172043,0.384615384615385,0.017921146953405,0.384615384615385,0.017921146953405,0,0,0,0,0.376344086021505
LRE02,0.135135135135135,0.5,0.0276752767527675,0.5,0.0276752767527675,0,0,0,0,0.0630630630630631
HES07,0.0989010989010989,0.321428571428571,0.0153061224489796,0.321428571428571,0.0153061224489796,0,0,0,0,0.175824175824176
